ID,Название,Предусловие,Шаги,Ожидаемый результат,Фактический результат,Статус
TC1,"Авторизация с валидными данными","Приложение открыто","1. Ввести login2/password2. 2. Нажать 'Войти'.","Приложение переходит на главную страницу, пользователь авторизован","Приложение переходит на главную страницу, пользователь авторизован",PASS
TC2,"Авторизация с неверным логином","Приложение открыто","1. Ввести abc/password2. 2. Нажать 'Войти'.","Отображается сообщение об ошибке авторизации, вход не выполнен","Отображается сообщение об ошибке авторизации, вход не выполнен",PASS
TC3,"Авторизация с неверным паролем","Приложение открыто","1. Ввести login2/qwe. 2. Нажать 'Войти'.","Отображается сообщение об ошибке авторизации, вход не выполнен","Отображается сообщение об ошибке авторизации, вход не выполнен",PASS
TC4,"Открытие страницы News","Приложение открыто и пользователь авторизован","1. Нажать меню. 2. Выбрать 'News'.","Открывается страница с новостями. В списке отображаются новости","Открывается страница с новостями. В списке не отображаются новости",FAIL
TC5,"Удаление новости","Приложение открыто, пользователь авторизован, есть хотя бы одна новость","1. Перейти в Control panel. 2. Нажать 'корзину' рядом с новостью. 3. Подтвердить удаление.","Новость исчезает из списка.","Новость исчезает из списка",PASS
TC6,"Добавление новости","Приложение открыто и пользователь авторизован","1. Перейти в Control panel. 2. Нажать '+'. 3. Заполнить поля. 4. Нажать 'Сохранить'.","Новая новость появляется в списке.","Новая новость не появляется в списке",FAIL
TC7,"Редактирование новости","Приложение открыто, пользователь авторизован, есть хотя бы одна новость","1. Перейти в Control panel. 2. Нажать 'карандаш' рядом с новостью. 3. Изменить текст описания. 4. Нажать 'Сохранить'.","Новость обновляется, в списке отображается новая версия текста","Новость обновляется, в списке отображается новая версия текста",PASS
TC8,"Просмотр цитат","Приложение открыто и пользователь авторизован","1. Перейти в Love is all по иконке бабочки. 2. Нажать на цитату для раскрытия. 3. Повторить с другой цитатой.","Карточки цитат корректно раскрываются, текст отображается полностью","Карточки цитат корректно раскрываются, текст отображается полностью",PASS
TC9,"Проверка страницы About","Приложение открыто и пользователь авторизован","1. Перейти в раздел 'About'.","Страница отображается, содержатся ссылки на Privacy Policy и Terms of Use","Страница отображается, содержатся ссылки на Privacy Policy и Terms of Use",PASS
TC10,"Совместимость приложения Хоспис с темами ОС","Приложение установлено на устройстве с поддержкой светлой/тёмной темы, пользователь авторизован","1. Изменить тему устройства на темную. 2. Открыть приложение. 3. Проверить корректность интерфейса. 4. Изменить тему на светлую и повторить проверку.","Интерфейс приложения корректно отображается при обеих темах, все элементы читаемы и видимы","Некоторые элементы отображаются некорректно в тёмной теме",FAIL
TC11,"Совместимость приложения Хоспис с ориентацией девайса","Приложение открыто, пользователь авторизован","1. Повернуть устройство в альбомную ориентацию. 2. Проверить отображение экранов.","Интерфейс корректно адаптируется при изменении ориентации, контент не обрезается","Интерфейс корректно адаптируется при изменении ориентации, контент не обрезается",PASS
TC12,"Локализация приложения","Приложение установлено на устройстве с поддержкой нескольких языков","1. Сменить язык устройства на русский. 2. Открыть приложение. 3. Проверить язык интерфейса. 4. Сменить язык на Английский и повторить.","Интерфейс и тексты приложения соответствуют выбранному языку устройства","Интерфейс и тексты приложения соответствуют выбранному языку устройства",PASS
TC13,"Навигация по разделам приложения Хоспис","Приложение открыто и пользователь авторизован","1. Перейти поочерёдно в разделы Main, News, Control Panel, About, Love is all. 2. Проверить переходы и отображение контента.","Навигация между разделами работает корректно, контент отображается без ошибок","Навигация между разделами работает корректно, контент отображается без ошибок",PASS
